"x_","y_","t_","id"
447192.316580017,4626425.46137134,2021-02-07 11:00:00,"A01"
446774.395922909,4626075.59134995,2021-02-07 12:00:00,"A01"
446680.235404533,4626016.38228325,2021-02-07 13:00:00,"A01"
446415.341243858,4625824.51318101,2021-02-07 14:00:00,"A01"
446463.787234749,4625433.18305608,2021-02-07 15:00:00,"A01"
446570.897465735,4625169.54280859,2021-02-07 16:00:00,"A01"
446504.106127645,4625472.25707377,2021-02-07 17:00:00,"A01"
446492.74004912,4625724.86726202,2021-02-07 18:00:00,"A01"
446636.966979294,4625936.81252167,2021-02-07 19:00:00,"A01"
446645.930807479,4626065.53484789,2021-02-07 20:00:00,"A01"
446732.069880853,4626319.81134233,2021-02-07 21:00:00,"A01"
446711.763786047,4626104.25229307,2021-02-07 22:00:00,"A01"
446815.047216008,4625681.07374823,2021-02-07 23:00:00,"A01"
446519.377722545,4625634.96281303,2021-02-08,"A01"
446759.817248501,4625547.63108679,2021-02-08 01:00:00,"A01"
446686.825350451,4625464.0944346,2021-02-08 02:00:00,"A01"
446543.954548042,4625480.32446129,2021-02-08 03:00:00,"A01"
446334.852965933,4625440.92112159,2021-02-08 04:00:00,"A01"
446636.744509556,4625106.86593605,2021-02-08 05:00:00,"A01"
446815.270390513,4625242.51333601,2021-02-08 06:00:00,"A01"
446609.059149132,4625346.60220946,2021-02-08 07:00:00,"A01"
446494.037433085,4625415.1118828,2021-02-08 08:00:00,"A01"
446443.271098682,4625633.87407254,2021-02-08 09:00:00,"A01"
446368.159946206,4625618.56822948,2021-02-08 10:00:00,"A01"
446496.563108906,4625680.99323327,2021-02-08 11:00:00,"A01"
446566.158413258,4625853.8324418,2021-02-08 12:00:00,"A01"
446665.635122755,4625965.68778534,2021-02-08 13:00:00,"A01"
446815.2508948,4625834.60093554,2021-02-08 14:00:00,"A01"
446655.007929297,4625614.34034257,2021-02-08 15:00:00,"A01"
446414.87806167,4625607.63331545,2021-02-08 16:00:00,"A01"
446560.816580418,4625801.68368679,2021-02-08 17:00:00,"A01"
446416.615733993,4625502.73660221,2021-02-08 18:00:00,"A01"
446610.600990162,4625306.04666044,2021-02-08 19:00:00,"A01"
446783.102984878,4625377.42191212,2021-02-08 20:00:00,"A01"
447126.875020331,4625469.2889465,2021-02-08 21:00:00,"A01"
447318.571599666,4625755.06230246,2021-02-08 22:00:00,"A01"
447395.272016095,4625879.42462321,2021-02-08 23:00:00,"A01"
447418.901476543,4625992.01202717,2021-02-09,"A01"
447452.123028773,4626054.32382103,2021-02-09 01:00:00,"A01"
447446.028318326,4626195.1140304,2021-02-09 02:00:00,"A01"
447461.914727185,4626510.12308854,2021-02-09 03:00:00,"A01"
447375.584420189,4626720.40307643,2021-02-09 04:00:00,"A01"
447443.345339736,4626433.9891784,2021-02-09 05:00:00,"A01"
447441.147257097,4626168.44045306,2021-02-09 06:00:00,"A01"
447408.184959355,4626081.16887269,2021-02-09 07:00:00,"A01"
447166.112699325,4625617.97395591,2021-02-09 08:00:00,"A01"
447337.968786294,4625475.74722595,2021-02-09 09:00:00,"A01"
447313.882084936,4625220.07379072,2021-02-09 10:00:00,"A01"
447264.903864439,4625110.99144504,2021-02-09 11:00:00,"A01"
447179.241779842,4624987.36413701,2021-02-09 12:00:00,"A01"
446830.109644623,4625129.54135621,2021-02-09 13:00:00,"A01"
446659.695249994,4625114.85201275,2021-02-09 14:00:00,"A01"
446844.125613105,4625526.02037641,2021-02-09 15:00:00,"A01"
446715.32894267,4625317.77050231,2021-02-09 16:00:00,"A01"
446581.722131162,4625631.10089393,2021-02-09 17:00:00,"A01"
446737.656960438,4625679.05769655,2021-02-09 18:00:00,"A01"
446598.054648889,4625622.74737296,2021-02-09 19:00:00,"A01"
446428.532937705,4625860.07499356,2021-02-09 20:00:00,"A01"
446688.229723042,4625884.00785795,2021-02-09 21:00:00,"A01"
447132.111484266,4625682.40524802,2021-02-09 22:00:00,"A01"
447250.766129897,4625812.53193064,2021-02-09 23:00:00,"A01"
447373.698446841,4625962.0267494,2021-02-10,"A01"
447423.81741798,4625922.37910465,2021-02-10 01:00:00,"A01"
447242.574593658,4625329.38443527,2021-02-10 02:00:00,"A01"
447421.934837662,4625118.24475101,2021-02-10 03:00:00,"A01"
447516.434740508,4625100.99540707,2021-02-10 04:00:00,"A01"
447590.278770868,4625020.66569838,2021-02-10 05:00:00,"A01"
447246.233517537,4625054.36784497,2021-02-10 06:00:00,"A01"
447179.730162304,4624977.47621061,2021-02-10 07:00:00,"A01"
447321.437167376,4625189.57331889,2021-02-10 08:00:00,"A01"
447444.275957288,4625027.4063379,2021-02-10 09:00:00,"A01"
447560.087322071,4625047.73434923,2021-02-10 10:00:00,"A01"
447283.501392207,4625053.31224544,2021-02-10 11:00:00,"A01"
447360.839372256,4625082.43696607,2021-02-10 12:00:00,"A01"
447360.720008018,4625002.53362367,2021-02-10 13:00:00,"A01"
447374.861893826,4625312.9040038,2021-02-10 14:00:00,"A01"
447237.358677306,4625503.69620674,2021-02-10 15:00:00,"A01"
447402.247096377,4625834.03480113,2021-02-10 16:00:00,"A01"
447337.583813875,4625858.23449139,2021-02-10 17:00:00,"A01"
447241.779420641,4625927.43802014,2021-02-10 18:00:00,"A01"
447270.688752842,4626217.8752711,2021-02-10 19:00:00,"A01"
447509.71787906,4626555.14392214,2021-02-10 20:00:00,"A01"
447345.956370886,4626840.4034063,2021-02-10 21:00:00,"A01"
447237.652649404,4626868.54202382,2021-02-10 22:00:00,"A01"
447222.647003049,4626645.31359678,2021-02-10 23:00:00,"A01"
447320.054862299,4626734.41765691,2021-02-11,"A01"
447239.427162183,4626867.55574667,2021-02-11 01:00:00,"A01"
447273.935877637,4626936.82252545,2021-02-11 02:00:00,"A01"
447289.345060743,4626808.23531448,2021-02-11 03:00:00,"A01"
447500.601310073,4626481.36544966,2021-02-11 04:00:00,"A01"
447575.300221075,4626603.26549441,2021-02-11 05:00:00,"A01"
447571.631226433,4626519.77308334,2021-02-11 06:00:00,"A01"
447570.8977859,4626394.27989681,2021-02-11 07:00:00,"A01"
447283.246880444,4626184.52665468,2021-02-11 08:00:00,"A01"
447407.770528866,4625843.49126193,2021-02-11 09:00:00,"A01"
447384.089221247,4625757.44120466,2021-02-11 10:00:00,"A01"
447316.832430952,4625433.68095353,2021-02-11 11:00:00,"A01"
447415.136701101,4625329.39699267,2021-02-11 12:00:00,"A01"
447390.368821484,4625070.39368146,2021-02-11 13:00:00,"A01"
447326.899295056,4625059.03141721,2021-02-11 14:00:00,"A01"
447464.72057713,4625018.4801695,2021-02-11 15:00:00,"A01"
447454.91116395,4625084.66128262,2021-02-11 16:00:00,"A01"
447329.851693474,4625167.59937453,2021-02-11 17:00:00,"A01"
447445.418727864,4625254.1923415,2021-02-11 18:00:00,"A01"
447373.512350407,4625036.23075036,2021-02-11 19:00:00,"A01"
447369.380225695,4625010.59372356,2021-02-11 20:00:00,"A01"
447186.769911228,4625309.96054021,2021-02-11 21:00:00,"A01"
447090.779113339,4625052.59169479,2021-02-11 22:00:00,"A01"
447441.3317609,4625037.03783694,2021-02-11 23:00:00,"A01"
447568.441509409,4625030.81086483,2021-02-12,"A01"
447973.673424253,4625018.44247632,2021-02-12 01:00:00,"A01"
447950.078534288,4625111.88159416,2021-02-12 02:00:00,"A01"
447693.615481805,4625229.8614951,2021-02-12 03:00:00,"A01"
447641.704647988,4625337.03392812,2021-02-12 04:00:00,"A01"
447524.623355689,4625107.47387295,2021-02-12 05:00:00,"A01"
447266.846810665,4625172.46419819,2021-02-12 06:00:00,"A01"
447331.785813754,4625201.13602929,2021-02-12 07:00:00,"A01"
447364.753862843,4625356.54563635,2021-02-12 08:00:00,"A01"
447253.595827345,4625754.85838869,2021-02-12 09:00:00,"A01"
447388.512588083,4625799.29162441,2021-02-12 10:00:00,"A01"
447332.447430748,4626073.6739371,2021-02-12 11:00:00,"A01"
447240.529368899,4626412.01595431,2021-02-12 12:00:00,"A01"
447280.304520985,4626444.36602164,2021-02-12 13:00:00,"A01"
447180.345836119,4626665.58831704,2021-02-12 14:00:00,"A01"
447186.736695294,4626917.02572936,2021-02-12 15:00:00,"A01"
447336.667589855,4626884.60834626,2021-02-12 16:00:00,"A01"
447565.484914859,4626858.49615845,2021-02-12 17:00:00,"A01"
447468.565433903,4626955.20004459,2021-02-12 18:00:00,"A01"
447282.958984666,4626805.56345783,2021-02-12 19:00:00,"A01"
447252.852892422,4626803.22228938,2021-02-12 20:00:00,"A01"
447173.772098555,4626797.8328209,2021-02-12 21:00:00,"A01"
447150.939463545,4626659.92357657,2021-02-12 22:00:00,"A01"
447413.454236416,4626623.97305471,2021-02-12 23:00:00,"A01"
447457.345242577,4626518.38494403,2021-02-13,"A01"
447351.9467565,4626463.84244054,2021-02-13 01:00:00,"A01"
447248.75237057,4626414.46838742,2021-02-13 02:00:00,"A01"
447370.36778644,4626075.82956563,2021-02-13 03:00:00,"A01"
447128.387511172,4625641.89237899,2021-02-13 04:00:00,"A01"
446712.055664149,4625590.38692135,2021-02-13 05:00:00,"A01"
446744.477516739,4625437.65345285,2021-02-13 06:00:00,"A01"
446672.641078336,4625182.99116383,2021-02-13 07:00:00,"A01"
447047.903557203,4625201.86682938,2021-02-13 08:00:00,"A01"
447254.955530004,4625131.13529789,2021-02-13 09:00:00,"A01"
447505.578543746,4625030.79879229,2021-02-13 10:00:00,"A01"
447250.178286841,4625010.22443373,2021-02-13 11:00:00,"A01"
447362.914362596,4624997.10268632,2021-02-13 12:00:00,"A01"
447532.544413116,4624980.55731293,2021-02-13 13:00:00,"A01"
447484.077110013,4625182.9464497,2021-02-13 14:00:00,"A01"
447309.163511719,4625338.62625818,2021-02-13 15:00:00,"A01"
447286.864060618,4625208.58982255,2021-02-13 16:00:00,"A01"
447222.076000285,4625039.68465759,2021-02-13 17:00:00,"A01"
447437.818686489,4625051.84935756,2021-02-13 18:00:00,"A01"
447482.46463309,4625073.15875913,2021-02-13 19:00:00,"A01"
447331.573157432,4625246.61603033,2021-02-13 20:00:00,"A01"
447273.865719046,4625210.91258401,2021-02-13 21:00:00,"A01"
447308.840974898,4625110.54528048,2021-02-13 22:00:00,"A01"
447566.082906653,4625006.25350681,2021-02-13 23:00:00,"A01"
447348.611982423,4625061.69353691,2021-02-14,"A01"
447318.82261862,4625486.67468501,2021-02-14 01:00:00,"A01"
447313.539784774,4625257.09762827,2021-02-14 02:00:00,"A01"
447348.091803654,4625113.219898,2021-02-14 03:00:00,"A01"
447534.172975784,4625029.2546786,2021-02-14 04:00:00,"A01"
447474.050646881,4625078.00188033,2021-02-14 05:00:00,"A01"
447286.873703171,4625281.67274523,2021-02-14 06:00:00,"A01"
447363.65281397,4625358.72463941,2021-02-14 07:00:00,"A01"
447361.204053578,4625826.76969592,2021-02-14 08:00:00,"A01"
447276.454298105,4625913.55489184,2021-02-14 09:00:00,"A01"
446828.22049933,4625772.55867826,2021-02-14 10:00:00,"A01"
446691.59313296,4625386.29433742,2021-02-14 11:00:00,"A01"
446651.959259307,4625175.11576862,2021-02-14 12:00:00,"A01"
446535.95021771,4625122.37671372,2021-02-14 13:00:00,"A01"
446500.938776799,4625196.65191912,2021-02-14 14:00:00,"A01"
446631.470788515,4625283.34954163,2021-02-14 15:00:00,"A01"
446607.01085435,4625622.84568318,2021-02-14 16:00:00,"A01"
446523.422498768,4625650.00662843,2021-02-14 17:00:00,"A01"
446664.940879261,4625862.23219266,2021-02-14 18:00:00,"A01"
446762.617981271,4625827.19133756,2021-02-14 19:00:00,"A01"
446872.359653108,4625600.55594349,2021-02-14 20:00:00,"A01"
446792.265433318,4625300.66287377,2021-02-14 21:00:00,"A01"
446724.159171106,4625082.64214231,2021-02-14 22:00:00,"A01"
446789.397108729,4625047.14069783,2021-02-14 23:00:00,"A01"
446749.905072385,4625323.21183273,2021-02-15,"A01"
446704.043543967,4625491.41653818,2021-02-15 01:00:00,"A01"
446528.389975976,4625656.63054531,2021-02-15 02:00:00,"A01"
446285.534566618,4625599.33546234,2021-02-15 03:00:00,"A01"
446584.146937751,4625617.99950757,2021-02-15 04:00:00,"A01"
446731.875656568,4625433.9014077,2021-02-15 05:00:00,"A01"
446574.944626831,4625540.85583765,2021-02-15 06:00:00,"A01"
446927.457262657,4625763.47055897,2021-02-15 07:00:00,"A01"
446970.073193603,4625965.12029369,2021-02-15 08:00:00,"A01"
446987.642229127,4626042.41081892,2021-02-15 09:00:00,"A01"
447334.163656714,4626495.31788692,2021-02-15 10:00:00,"A01"
447429.707443959,4626551.81023633,2021-02-15 11:00:00,"A01"
447183.609224518,4626588.79615088,2021-02-15 12:00:00,"A01"
447319.700585643,4626407.03793719,2021-02-15 13:00:00,"A01"
447268.883695127,4626320.49393139,2021-02-15 14:00:00,"A01"
447431.867073546,4626078.57082075,2021-02-15 15:00:00,"A01"
447504.515456164,4626032.48044698,2021-02-15 16:00:00,"A01"
447399.948506046,4625800.20955128,2021-02-15 17:00:00,"A01"
447309.609051899,4625495.28420578,2021-02-15 18:00:00,"A01"
447270.801716659,4625475.47797338,2021-02-15 19:00:00,"A01"
447535.85921363,4625046.67738299,2021-02-15 20:00:00,"A01"
447485.187815968,4625024.20715707,2021-02-15 21:00:00,"A01"
447315.738615103,4625024.93138071,2021-02-15 22:00:00,"A01"
447316.489655315,4625127.97219749,2021-02-15 23:00:00,"A01"
447370.657367539,4625234.28765624,2021-02-16,"A01"
447681.562078628,4625156.14385499,2021-02-16 01:00:00,"A01"
447407.022087881,4625070.39137181,2021-02-16 02:00:00,"A01"
447380.953511223,4625297.70106605,2021-02-16 03:00:00,"A01"
447161.885714007,4625466.47278192,2021-02-16 04:00:00,"A01"
447133.05035464,4625310.68343144,2021-02-16 05:00:00,"A01"
447405.961368221,4625285.26187136,2021-02-16 06:00:00,"A01"
447537.555827561,4625101.40709841,2021-02-16 07:00:00,"A01"
447409.648963541,4625000.78995513,2021-02-16 08:00:00,"A01"
447107.703803713,4625011.26505528,2021-02-16 09:00:00,"A01"
447440.367438027,4625219.50630385,2021-02-16 10:00:00,"A01"
447560.269859398,4624997.87743012,2021-02-16 11:00:00,"A01"
447740.180827561,4625233.66519521,2021-02-16 12:00:00,"A01"
447472.46336221,4625204.89223571,2021-02-16 13:00:00,"A01"
447261.192346201,4625421.51722896,2021-02-16 14:00:00,"A01"
447265.867570101,4625309.50242765,2021-02-16 15:00:00,"A01"
447274.178222218,4625147.37582548,2021-02-16 16:00:00,"A01"
447561.58801514,4624978.06571942,2021-02-16 17:00:00,"A01"
447399.185987457,4625109.02471223,2021-02-16 18:00:00,"A01"
447472.854346852,4625307.67279225,2021-02-16 19:00:00,"A01"
447351.531595504,4625200.66193317,2021-02-16 20:00:00,"A01"
447244.966635096,4625185.51147676,2021-02-16 21:00:00,"A01"
447257.693071419,4625029.10126749,2021-02-16 22:00:00,"A01"
447424.876357999,4625042.37314729,2021-02-16 23:00:00,"A01"
447496.437340172,4625161.76147667,2021-02-17,"A01"
447353.867010551,4625084.70939691,2021-02-17 01:00:00,"A01"
447092.199132789,4625207.48037588,2021-02-17 02:00:00,"A01"
446783.571673697,4625454.8298119,2021-02-17 03:00:00,"A01"
446585.532760073,4625312.99349055,2021-02-17 04:00:00,"A01"
446435.639449873,4625288.04391221,2021-02-17 05:00:00,"A01"
446341.565904568,4625492.09119673,2021-02-17 06:00:00,"A01"
446622.090622969,4625707.94089672,2021-02-17 07:00:00,"A01"
446802.411014319,4625396.5782001,2021-02-17 08:00:00,"A01"
446669.830771605,4625327.16710528,2021-02-17 09:00:00,"A01"
446571.615968738,4625164.71117563,2021-02-17 10:00:00,"A01"
446526.320082683,4625154.37598999,2021-02-17 11:00:00,"A01"
446674.381180073,4625389.90864034,2021-02-17 12:00:00,"A01"
446758.337144239,4625510.67068315,2021-02-17 13:00:00,"A01"
446582.58414967,4625666.08833325,2021-02-17 14:00:00,"A01"
446762.1491706,4625478.30245316,2021-02-17 15:00:00,"A01"
446722.990890977,4625276.29162454,2021-02-17 16:00:00,"A01"
446756.32109656,4625514.57772652,2021-02-17 17:00:00,"A01"
446611.720395088,4625367.40941303,2021-02-17 18:00:00,"A01"
446633.87266068,4625305.86222343,2021-02-17 19:00:00,"A01"
446854.979074385,4625232.61480619,2021-02-17 20:00:00,"A01"
447315.353070642,4625496.37332525,2021-02-17 21:00:00,"A01"
447413.178945635,4625804.33657565,2021-02-17 22:00:00,"A01"
447272.440836602,4625916.72476536,2021-02-17 23:00:00,"A01"
447464.709172805,4625805.16136216,2021-02-18,"A01"
447786.945485603,4625636.53661491,2021-02-18 01:00:00,"A01"
447247.255140962,4625712.83287628,2021-02-18 02:00:00,"A01"
447132.412721193,4625837.08123579,2021-02-18 03:00:00,"A01"
447307.097602845,4626164.03243638,2021-02-18 04:00:00,"A01"
447245.020435133,4626196.46561728,2021-02-18 05:00:00,"A01"
447195.537405915,4626382.43456212,2021-02-18 06:00:00,"A01"
447235.967577656,4626545.08767696,2021-02-18 07:00:00,"A01"
447279.325873649,4626744.06360426,2021-02-18 08:00:00,"A01"
447128.721061116,4626671.89938426,2021-02-18 09:00:00,"A01"
447078.120355797,4626409.43627753,2021-02-18 10:00:00,"A01"
447256.871523184,4626363.96388157,2021-02-18 11:00:00,"A01"
447388.816068356,4626401.64554568,2021-02-18 12:00:00,"A01"
447443.466924934,4626318.86109417,2021-02-18 13:00:00,"A01"
447429.117044061,4626604.92407514,2021-02-18 14:00:00,"A01"
447434.609425988,4626792.68026916,2021-02-18 15:00:00,"A01"
447555.77714768,4626882.77467954,2021-02-18 16:00:00,"A01"
447581.700870022,4626805.39718018,2021-02-18 17:00:00,"A01"
447581.077488803,4626598.77970362,2021-02-18 18:00:00,"A01"
447352.725951606,4626549.89960446,2021-02-18 19:00:00,"A01"
447257.938916958,4626420.35381362,2021-02-18 20:00:00,"A01"
446965.507932019,4625958.86787032,2021-02-18 21:00:00,"A01"
446785.135883885,4625794.55506171,2021-02-18 22:00:00,"A01"
446608.660056174,4625671.94575779,2021-02-18 23:00:00,"A01"
446442.169979517,4625563.05945282,2021-02-19,"A01"
446446.55755288,4625406.43619589,2021-02-19 01:00:00,"A01"
446542.817075492,4625407.55340015,2021-02-19 02:00:00,"A01"
446694.600908959,4625325.63758162,2021-02-19 03:00:00,"A01"
446933.626791777,4625165.86655279,2021-02-19 04:00:00,"A01"
446815.722465469,4625348.33015422,2021-02-19 05:00:00,"A01"
446747.11757598,4625377.29966271,2021-02-19 06:00:00,"A01"
446818.378996919,4625578.66139533,2021-02-19 07:00:00,"A01"
446682.76932349,4625905.85370919,2021-02-19 08:00:00,"A01"
446956.428881059,4626034.9111001,2021-02-19 09:00:00,"A01"
447387.348653027,4626240.21796825,2021-02-19 10:00:00,"A01"
447515.808516648,4626347.413927,2021-02-19 11:00:00,"A01"
447448.226190847,4626656.37708293,2021-02-19 12:00:00,"A01"
447303.864672559,4626562.30068882,2021-02-19 13:00:00,"A01"
447344.560031476,4626438.14505999,2021-02-19 14:00:00,"A01"
447355.49490971,4626198.41527068,2021-02-19 15:00:00,"A01"
447401.171245461,4625868.025194,2021-02-19 16:00:00,"A01"
447276.829845575,4625781.68567361,2021-02-19 17:00:00,"A01"
447423.722241272,4625509.1941608,2021-02-19 18:00:00,"A01"
447332.840788295,4625362.58735659,2021-02-19 19:00:00,"A01"
447349.820645654,4625311.51171569,2021-02-19 20:00:00,"A01"
447251.150042412,4625445.03993898,2021-02-19 21:00:00,"A01"
447467.909728165,4625259.71648457,2021-02-19 22:00:00,"A01"
447461.273157166,4625093.09403216,2021-02-19 23:00:00,"A01"
447500.167774258,4625012.32973491,2021-02-20,"A01"
447398.909119749,4625001.4464892,2021-02-20 01:00:00,"A01"
447291.159863514,4625218.82171463,2021-02-20 02:00:00,"A01"
447487.333686056,4625096.81014287,2021-02-20 03:00:00,"A01"
447552.176161413,4625028.94402472,2021-02-20 04:00:00,"A01"
447413.420826255,4625171.78884239,2021-02-20 05:00:00,"A01"
447191.111842438,4625025.32395251,2021-02-20 06:00:00,"A01"
447206.473285554,4625031.57640629,2021-02-20 07:00:00,"A01"
447244.58590342,4625164.30307741,2021-02-20 08:00:00,"A01"
447354.981966817,4625365.57725872,2021-02-20 09:00:00,"A01"
447187.211603334,4625488.85866538,2021-02-20 10:00:00,"A01"
446982.273304835,4625538.8498379,2021-02-20 11:00:00,"A01"
446778.248230007,4625649.74204443,2021-02-20 12:00:00,"A01"
446521.119075618,4625729.18907689,2021-02-20 13:00:00,"A01"
446720.607822516,4625370.11974262,2021-02-20 14:00:00,"A01"
446741.479163,4625251.47396028,2021-02-20 15:00:00,"A01"
446576.758239907,4624976.19950156,2021-02-20 16:00:00,"A01"
446542.050678912,4625772.08565576,2021-02-20 17:00:00,"A01"
446575.277530297,4626093.12507719,2021-02-20 18:00:00,"A01"
446433.515039622,4626284.67538506,2021-02-20 19:00:00,"A01"
446289.227913145,4626487.54678972,2021-02-20 20:00:00,"A01"
446409.824934229,4626556.1734693,2021-02-20 21:00:00,"A01"
446631.603176869,4626920.02015669,2021-02-20 22:00:00,"A01"
446696.093274152,4626794.55221368,2021-02-20 23:00:00,"A01"
446673.277921113,4626774.35087742,2021-02-21,"A01"
446602.750635729,4626699.50783701,2021-02-21 01:00:00,"A01"
446664.423044492,4626864.47121317,2021-02-21 02:00:00,"A01"
446640.637804929,4626691.81581,2021-02-21 03:00:00,"A01"
446499.227954436,4626700.25862813,2021-02-21 04:00:00,"A01"
446482.148052333,4626973.76744994,2021-02-21 05:00:00,"A01"
446286.676445673,4626679.9829545,2021-02-21 06:00:00,"A01"
446293.889356661,4626558.73468874,2021-02-21 07:00:00,"A01"
446087.254839065,4626758.66890576,2021-02-21 08:00:00,"A01"
446032.81241674,4626868.31606854,2021-02-21 09:00:00,"A01"
446127.463671018,4626940.46195464,2021-02-21 10:00:00,"A01"
446303.041857143,4626883.52955306,2021-02-21 11:00:00,"A01"
446141.741253051,4626567.48579174,2021-02-21 12:00:00,"A01"
445997.145566763,4626759.2654823,2021-02-21 13:00:00,"A01"
446018.745051406,4626881.84635461,2021-02-21 14:00:00,"A01"
446397.105624678,4626784.44220521,2021-02-21 15:00:00,"A01"
446642.111021176,4626681.1888743,2021-02-21 16:00:00,"A01"
446543.687378592,4626915.66674666,2021-02-21 17:00:00,"A01"
446312.903854682,4626870.23387863,2021-02-21 18:00:00,"A01"
446558.840343624,4626594.58629758,2021-02-21 19:00:00,"A01"
446956.930698594,4626333.31182776,2021-02-21 20:00:00,"A01"
447148.784173734,4626307.60050826,2021-02-21 21:00:00,"A01"
447188.418765017,4626220.92238102,2021-02-21 22:00:00,"A01"
447326.316074713,4626303.22762752,2021-02-21 23:00:00,"A01"
447148.22679084,4626434.21570119,2021-02-22,"A01"
447422.478673072,4626625.74028844,2021-02-22 01:00:00,"A01"
447474.562330672,4626762.1215375,2021-02-22 02:00:00,"A01"
447391.275985492,4626533.01066249,2021-02-22 03:00:00,"A01"
447315.322500805,4626472.93304085,2021-02-22 04:00:00,"A01"
447223.679029674,4626472.60698756,2021-02-22 05:00:00,"A01"
447198.252630804,4626624.51569895,2021-02-22 06:00:00,"A01"
447556.559533405,4626269.66930587,2021-02-22 07:00:00,"A01"
447521.242656454,4626396.3484545,2021-02-22 08:00:00,"A01"
447363.242570381,4626475.21243031,2021-02-22 09:00:00,"A01"
447296.438255464,4626595.62296395,2021-02-22 10:00:00,"A01"
447343.383890647,4626952.99724981,2021-02-22 11:00:00,"A01"
447031.18940444,4626800.88750964,2021-02-22 12:00:00,"A01"
446784.285782697,4626807.26787302,2021-02-22 13:00:00,"A01"
446617.738477269,4626744.81512825,2021-02-22 14:00:00,"A01"
446413.14386304,4626760.68305079,2021-02-22 15:00:00,"A01"
446356.488271267,4626968.936087,2021-02-22 16:00:00,"A01"
446467.858147051,4626910.03343752,2021-02-22 17:00:00,"A01"
446584.483074769,4626776.23950805,2021-02-22 18:00:00,"A01"
